[07:59:40] 🔇 [quiet-window] 进入 pre_quiet，owner=1774712054103，fire_at=08:00:00
[08:00:05] 🔫 [quiet-window] 进入 fire_window，owner=1774712054103
[08:00:05] ⏰ [自动任务] 开始执行任务: 1774712054103
[08:00:05] 🕒 [时间对齐] server_offset=0.0s, base_run=2026-03-29 08:00:00, target_date=2026-03-31
[08:00:05] 🚀 [终极递送器] 启动主组合递送: [{'place': '16', 'time': '10:00'}, {'place': '16', 'time': '11:00'}, {'place': '17', 'time': '10:00'}, {'place': '17', 'time': '11:00'}]
[08:00:05] [极速订场] 开始 date=2026-03-31 单路递送+refill round_interval=0.25s refill_poll=0.35s min_post_interval=4.0s budget=360.0s
[08:00:05] [极速订场] 拉活成功，开始递送
[08:00:05] [极速订场] 第一组矩阵无解，回退主组原 items 继续递送
[08:00:05] [极速订场] 首单批次 group=primary (主组) items=[{'place': '16', 'time': '10:00'}, {'place': '16', 'time': '11:00'}, {'place': '17', 'time': '10:00'}, {'place': '17', 'time': '11:00'}]
[08:00:12] [极速订场] 首单 第1次提交 action=stop_task_fail items=[{'place': '16', 'time': '10:00'}, {'place': '16', 'time': '11:00'}, {'place': '17', 'time': '10:00'}, {'place': '17', 'time': '11:00'}]
[08:00:12] [极速订场] 首单软失败并入refill继续重试: '请检查预约时间段!'
[08:00:11] [极速订场] refill 矩阵完成 fetch_n=1 wall=08:00:06.373 elapsed_ms=1040
[08:00:11] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:12] [极速订场] refill 矩阵完成 fetch_n=2 wall=08:00:07.928 elapsed_ms=1201
[08:00:12] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:14] [极速订场] refill 矩阵完成 fetch_n=3 wall=08:00:09.431 elapsed_ms=1149
[08:00:14] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:15] [极速订场] refill 矩阵完成 fetch_n=4 wall=08:00:11.055 elapsed_ms=1270
[08:00:15] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:16] [极速订场] refill 矩阵完成 fetch_n=5 wall=08:00:12.238 elapsed_ms=830
[08:00:16] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:18] [极速订场] refill 矩阵完成 fetch_n=6 wall=08:00:13.543 elapsed_ms=952
[08:00:18] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:19] [极速订场] refill 矩阵完成 fetch_n=7 wall=08:00:14.663 elapsed_ms=768
[08:00:19] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:20] [极速订场] refill 矩阵完成 fetch_n=8 wall=08:00:16.015 elapsed_ms=997
[08:00:20] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:22] [极速订场] refill 矩阵完成 fetch_n=9 wall=08:00:17.412 elapsed_ms=1044
[08:00:22] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:23] [极速订场] refill 矩阵完成 fetch_n=10 wall=08:00:18.823 elapsed_ms=1059
[08:00:23] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:25] [极速订场] refill 矩阵完成 fetch_n=11 wall=08:00:20.467 elapsed_ms=1289
[08:00:25] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:26] [极速订场] refill 矩阵完成 fetch_n=12 wall=08:00:22.090 elapsed_ms=1268
[08:00:26] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:28] [极速订场] refill 矩阵完成 fetch_n=13 wall=08:00:23.538 elapsed_ms=1094
[08:00:28] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:29] [极速订场] refill 矩阵完成 fetch_n=14 wall=08:00:24.646 elapsed_ms=755
[08:00:29] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:30] [极速订场] refill 矩阵完成 fetch_n=15 wall=08:00:26.057 elapsed_ms=1057
[08:00:30] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:31] [极速订场] refill 矩阵完成 fetch_n=16 wall=08:00:27.265 elapsed_ms=854
[08:00:31] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:33] [极速订场] refill 矩阵完成 fetch_n=17 wall=08:00:28.844 elapsed_ms=1226
[08:00:33] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:34] [极速订场] refill 矩阵完成 fetch_n=18 wall=08:00:30.275 elapsed_ms=1078
[08:00:34] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:36] [极速订场] refill 矩阵完成 fetch_n=19 wall=08:00:31.718 elapsed_ms=1089
[08:00:36] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:37] [极速订场] refill 矩阵完成 fetch_n=20 wall=08:00:33.248 elapsed_ms=1177
[08:00:37] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:39] [极速订场] refill 矩阵完成 fetch_n=21 wall=08:00:34.605 elapsed_ms=1002
[08:00:39] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:40] [极速订场] refill 矩阵完成 fetch_n=22 wall=08:00:36.050 elapsed_ms=1091
[08:00:40] [极速订场] refill 本轮无满足约束候选，缺口={'20:00': 2, '21:00': 2}，短等待后重拉
[08:00:42] [极速订场] refill 矩阵完成 fetch_n=23 wall=08:00:37.467 elapsed_ms=1062
